espn_player_id,player_name,team_abbr,position,jersey,status
3116726,Kentavius Street,CHI,DT,93,Active
3134690,Montez Sweat,CHI,DE,98,Active
4954445,Dillon Thieneman,CHI,S,31,Active
4879561,Skyler Thomas,CHI,S,38,Active
4432804,Shemar Turner,CHI,DT,95,Active
4875381,Jordan van den Berg,CHI,DT,96,Active
4873482,Luke Elkin,CHI,LS,46,Active
4696723,Beau Gardner,CHI,LS,45,Active
5155087,Gabriel Plascencia,CHI,PK,27,Active
17427,Cairo Santos,CHI,PK,8,Active
4686889,Tory Taylor,CHI,P,19,Active
4427834,Erick All Jr.,CIN,TE,83,Active
4879478,Jacob Bayer,CIN,C,69,Active
4245645,Gary Brightwell,CIN,RB,32,Active
4429299,Tahj Brooks,CIN,RB,25,Active
4362238,Chase Brown,CIN,RB,30,Active
4876200,Liam Brown,CIN,G,60,Active
3116370,Orlando Brown Jr.,CIN,OT,75,Active
4430992,Kentrel Bullock,CIN,RB,31,Active
3915511,Joe Burrow,CIN,QB,9,Active
4362628,Ja'Marr Chase,CIN,WR,1,Active
