wnba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,id_status,player_1,player_2,team_1,team_2,is_combo_player
237851,11717429,11717429,237851,150721,2026-05-09T13:00:00.000-04:00,,,Caitlin Clark,G,IND,DAL,7.5,Assists,ast,Goblin,6.0,1,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,OK,,,,,0
237851,11717439,11717439,237851,150721,2026-05-09T13:00:00.000-04:00,,,Caitlin Clark,G,IND,DAL,7.5,Rebounds,reb,Demon,3.5,2,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,OK,,,,,0
237836,11717459,11717459,237836,150721,2026-05-09T13:00:00.000-04:00,,,Paige Bueckers,G,DAL,IND,7.5,Assists,ast,Demon,,2,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,OK,,,,,0
237835,11717412,11717412,237835,150721,2026-05-09T13:00:00.000-04:00,,,Arike Ogunbowale,G,DAL,IND,6.5,Assists,ast,Demon,,2,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,OK,,,,,0
237851,11717438,11717438,237851,150721,2026-05-09T13:00:00.000-04:00,,,Caitlin Clark,G,IND,DAL,6.5,Rebounds,reb,Demon,3.5,1,https://static.prizepicks.com/images/players/NBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,OK,,,,,0
237836,11717458,11717458,237836,150721,2026-05-09T13:00:00.000-04:00,,,Paige Bueckers,G,DAL,IND,6.5,Assists,ast,Demon,,1,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,OK,,,,,0
237836,11717465,11717465,237836,150721,2026-05-09T13:00:00.000-04:00,,,Paige Bueckers,G,DAL,IND,6.5,Rebounds,reb,Demon,,2,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,OK,,,,,0
237853,11717399,11717399,237853,150721,2026-05-09T13:00:00.000-04:00,,,Aliyah Boston,C-F,IND,DAL,5.5,Assists,ast,Demon,,1,https://static.prizepicks.com/images/players/NBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,OK,,,,,0
237835,11717411,11717411,237835,150721,2026-05-09T13:00:00.000-04:00,,,Arike Ogunbowale,G,DAL,IND,5.5,Assists,ast,Demon,,1,https://static.prizepicks.com/images/players/NBA/Arike_Ogunbowale_WNBA_player_li5EkQnXby20K9Lhu8gX4Ygc.webp,OK,,,,,0
237836,11717464,11717464,237836,150721,2026-05-09T13:00:00.000-04:00,,,Paige Bueckers,G,DAL,IND,5.5,Rebounds,reb,Demon,,1,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,OK,,,,,0
