espn_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,is_combo_player
324505,12011373,12011373,254091,151607,2026-05-14T13:00:00.000-04:00,,,Fran Pérez,Midfielder,RAYO,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/manual/Francisco_Pérez_Martínez.png,2026-05-14,,,,,OK,0
324505,12011374,12011374,254091,151607,2026-05-14T13:00:00.000-04:00,,,Fran Pérez,Midfielder,RAYO,,SOCCER,0.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/Francisco_Pérez_Martínez.png,2026-05-14,,,,,OK,0
186181,12011375,12011375,252161,151607,2026-05-14T13:00:00.000-04:00,,,Gerard Gumbau,Midfielder,RAYO,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/manual/Gerard Gumbau Garriga.png,2026-05-14,,,,,OK,0
186181,12011377,12011377,252161,151607,2026-05-14T13:00:00.000-04:00,,,Gerard Gumbau,Midfielder,RAYO,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/manual/Gerard Gumbau Garriga.png,2026-05-14,,,,,OK,0
186181,12011378,12011378,252161,151607,2026-05-14T13:00:00.000-04:00,,,Gerard Gumbau,Midfielder,RAYO,,SOCCER,0.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/Gerard Gumbau Garriga.png,2026-05-14,,,,,OK,0
212185,12011379,12011379,297516,151607,2026-05-14T13:00:00.000-04:00,,,Guido Rodríguez,Midfielder,VALENCIA,,SOCCER,0.5,Goal + Assist,goal_assist,Demon,,1,https://static.prizepicks.com/images/manual/Guido Rodríguez.png,2026-05-14,,,,,OK,0
212185,12011381,12011381,297516,151607,2026-05-14T13:00:00.000-04:00,,,Guido Rodríguez,Midfielder,VALENCIA,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/manual/Guido Rodríguez.png,2026-05-14,,,,,OK,0
212185,12011382,12011382,297516,151607,2026-05-14T13:00:00.000-04:00,,,Guido Rodríguez,Midfielder,VALENCIA,,SOCCER,0.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/Guido Rodríguez.png,2026-05-14,,,,,OK,0
267477,12011383,12011383,148457,151607,2026-05-14T13:00:00.000-04:00,,,Hugo Duro,Attacker,VALENCIA,,SOCCER,0.5,Assists,assists,Demon,,1,https://static.prizepicks.com/images/players/soccer/7yieh5r0uzk6d6x9o060c2bfu.webp,2026-05-14,,,,,OK,0
267477,12011385,12011385,148457,151607,2026-05-14T13:00:00.000-04:00,,,Hugo Duro,Attacker,VALENCIA,,SOCCER,0.5,Goals,goals,Demon,,1,https://static.prizepicks.com/images/players/soccer/7yieh5r0uzk6d6x9o060c2bfu.webp,2026-05-14,,,,,OK,0
267477,12011386,12011386,148457,151607,2026-05-14T13:00:00.000-04:00,,,Hugo Duro,Attacker,VALENCIA,,SOCCER,0.5,Shots On Target,shots_on_target,Goblin,,1,https://static.prizepicks.com/images/players/soccer/7yieh5r0uzk6d6x9o060c2bfu.webp,2026-05-14,,,,,OK,0
