sport,direction,pick_type,prop,bin_index,mean_pred,mean_true,gap,n_stratum,flagged
MLB,OVER,Goblin,Pitches Thrown,1,0.44591081081081063,0.6216216216216216,0.17571081081081097,374,True
MLB,OVER,Goblin,Pitches Thrown,2,0.5548085106382981,0.6595744680851063,0.10476595744680828,374,True
MLB,OVER,Goblin,Pitches Thrown,4,0.590932558139535,0.7441860465116279,0.15325348837209285,374,True
MLB,OVER,Goblin,Pitching Outs,0,0.1739806451612903,0.45161290322580644,0.27763225806451614,294,True
MLB,OVER,Goblin,Pitching Outs,1,0.3778171428571428,0.6857142857142857,0.3078971428571429,294,True
MLB,OVER,Goblin,Pitching Outs,2,0.45495000000000013,0.5454545454545454,0.09050454545454528,294,True
MLB,OVER,Goblin,Pitching Outs,4,0.6686732394366192,0.4647887323943662,0.20388450704225297,294,True
MLB,OVER,Goblin,Pitching Outs,6,0.784636842105263,0.631578947368421,0.15305789473684195,294,True
MLB,OVER,Goblin,Runs,0,0.37727792207792205,0.5194805194805194,0.14220259740259739,374,True
MLB,OVER,Goblin,Runs,4,0.7176724137931031,0.5862068965517241,0.131465517241379,374,True
MLB,OVER,Goblin,Runs,6,0.9713703703703706,0.5185185185185185,0.45285185185185206,374,True
MLB,OVER,Goblin,Singles,0,0.3938999999999999,0.4782608695652174,0.08436086956521749,439,True
MLB,OVER,Goblin,Singles,2,0.669147872340426,0.44680851063829785,0.2223393617021282,439,True
MLB,OVER,Goblin,Singles,3,0.7899323943661966,0.5211267605633803,0.2688056338028163,439,True
MLB,OVER,Goblin,Singles,4,0.7926000000000001,0.7058823529411765,0.08671764705882357,439,True
MLB,OVER,Goblin,Singles,5,0.9962121212121212,0.5333333333333333,0.4628787878787879,439,True
MLB,OVER,Goblin,Total Bases,0,0.3639633670033861,0.5851851851851851,0.22122181818179903,11960,True
MLB,OVER,Goblin,Total Bases,1,0.4985946206896604,0.6110344827586207,0.11243986206896034,11960,True
MLB,OVER,Goblin,Total Bases,3,0.5618857142857141,0.40476190476190477,0.15712380952380933,11960,True
MLB,OVER,Goblin,Total Bases,5,0.7135675763482819,0.5679012345679012,0.14566634178038074,11960,True
MLB,OVER,Goblin,Total Bases,6,0.8350696655132721,0.5570934256055363,0.2779762399077358,11960,True
MLB,OVER,Goblin,Total Bases,7,0.973798776887389,0.5972163644032054,0.37658241248418367,11960,True
MLB,OVER,Goblin,Walks,0,0.3776118421052631,0.5657894736842105,0.1881776315789474,156,True
