sport,dimension,direction,n,hits,mean_ml,hit_rate,prop,minutes_tier,def_tier,h2h_bucket,role,pick_type,tier
mlb,prop,,2215,1339.0,0.5434950993989829,0.6045146726862303,Pitcher Strikeouts,,,,,,
mlb,prop,,9356,5645.0,0.5954440466011116,0.6033561351004703,Hitter Strikeouts,,,,,,
mlb,prop,,747,443.0,0.5038757697456493,0.5930388219544847,Pitches Thrown,,,,,,
mlb,prop,,13821,8056.0,0.609846551200243,0.5828811229288764,Hits,,,,,,
mlb,prop,,448,261.0,0.5604254464285715,0.5825892857142857,Pitcher Fantasy Score,,,,,,
mlb,prop,,14527,8314.0,0.6108909136836027,0.5723136229090658,Total Bases,,,,,,
mlb,prop,,156,86.0,0.5666826923076923,0.5512820512820513,Plate Appearances,,,,,,
mlb,prop,,598,319.0,0.49258037865748705,0.5334448160535117,Pitching Outs,,,,,,
mlb,prop,,1521,785.0,0.5584508218277449,0.5161078238001315,Singles,,,,,,
mlb,prop,,560,289.0,0.5070817850637522,0.5160714285714286,Walks,,,,,,
mlb,prop,,1684,821.0,0.4994555212831585,0.48752969121140144,Runs,,,,,,
mlb,minutes_tier,,937,560.0,0.5172784418356458,0.5976520811099253,,Elite,,,,,
mlb,minutes_tier,,46973,27486.0,0.606112388893778,0.5851446575692419,,Low,,,,,
mlb,minutes_tier,,156,87.0,0.5619358974358974,0.5576923076923077,,High,,,,,
mlb,minutes_tier,,2079,1148.0,0.7142278018278018,0.5521885521885522,,0,,,,,
mlb,minutes_tier,,1422,782.0,0.6969684247538678,0.549929676511955,,DNP Risk,,,,,
mlb,minutes_tier,,450,238.0,0.5060337104072398,0.5288888888888889,,Med,,,,,
mlb,minutes_tier,,30,15.0,0.246468438424729,0.5,,(missing),,,,,
mlb,def_tier,,52057,30320.0,0.610255202128577,0.582438480895941,,,(missing),,,,
mlb,h2h_bucket,,52057,30320.0,0.610255202128577,0.582438480895941,,,,(not in graded export),,,
mlb,role,,6712,4056.0,0.5471005315110099,0.6042908224076281,,,,,P,,
mlb,role,,21091,12391.0,0.6216778796645908,0.5875017780095776,,,,,IF,,
mlb,role,,1817,1067.0,0.7096943863511282,0.5872317006053935,,,,,DH,,
mlb,role,,16758,9642.0,0.6141351318058635,0.5753669889008235,,,,,OF,,
mlb,role,,5649,3149.0,0.6011403146149625,0.5574437953620109,,,,,C,,
mlb,role,,30,15.0,0.246468438424729,0.5,,,,,(missing),,
mlb,pick_type,,41726,25193.0,0.6430743347936932,0.6037722283468341,,,,,,goblin,
mlb,pick_type,,30,15.0,0.246468438424729,0.5,,,,,,,
mlb,pick_type,,10301,5112.0,0.4800172922650292,0.49626249878652556,,,,,,standard,
mlb,tier,,5208,3107.0,0.6004879615082482,0.5965821812596006,,,,,,,C
mlb,tier,,19103,11254.0,0.5690053362374081,0.5891221274145422,,,,,,,A
mlb,tier,,20200,11857.0,0.7024710275265825,0.586980198019802,,,,,,,B
mlb,tier,,7516,4087.0,0.46018527838033263,0.5437732836615221,,,,,,,D
