sport,player,prop_type,direction,pick_type,line,edge,rank_score,tier,hit_prob_over,hit_prob_under,hit_prob_selected,hit_prob_actionable,leg_prob_used,prop_quality_score,rank_read_score,implied_prob,implied_prob_over,implied_prob_under,cross_edge,data_completeness_score,pick_type_eligible,distribution_std,distribution_n,std_norm,confidence_score,calibration_bucket,calibration_actual_hit_rate,calibration_n,read_fields_missing
WNBA,Jordin Canada,Points,OVER,Goblin,7.5,2.35,5.54,A,1.0,0.0,1.0,1.0,1.0,0.7948020952952852,0.6794666666666666,,,,,0.8,True,4.7854,10,0.5656701774294597,0.7067631889959849,,,,[]
Tennis,Mika Stojsavljevic,Total Games Won,OVER,Goblin,11.5,0.5,5.53,D,0.4,0.2,0.4,0.4,0.4,0.5125977235404878,0.3307333333333333,,,,,0.9,False,6.245,3,1.0,0.5394092032391707,,,,[]
WNBA,Cecilia Zandalasini,Points,OVER,Goblin,5.5,2.85,5.47,A,1.0,0.0,1.0,1.0,1.0,0.8016333438567237,0.654,0.495,0.495,0.5745,0.505,0.8,True,4.0291,10,0.47626984408430556,0.7315042093287769,,,,[]
MLB,Kyle Tucker,Hits+Runs+RBIs,OVER,Goblin,0.5,2.1,5.47,B,0.8,0.2,0.8,0.8,0.8,0.5687583438567236,0.6275999999999999,,,,,0.8,True,1.4491,10,0.49998274850774593,0.6440697332229168,5,0.566788,5510.0,[]
MLB,Oneil Cruz,Hitter Fantasy Score,OVER,Goblin,2.5,5.3,5.47,B,0.8,0.2,0.8,0.8,0.8,0.615691677190057,0.6873333333333332,,,,,0.8,True,5.6332,10,0.5193373221842186,0.6556577564704654,5,0.566788,5510.0,[]
MLB,Spencer Horwitz,Hitter Fantasy Score,OVER,Goblin,2.5,4.5,5.47,B,0.8,0.2,0.8,0.8,0.8,0.6039583438567236,0.6724,,,,,0.8,True,5.8462,10,0.5389742691460233,0.6466418530633475,5,0.566788,5510.0,[]
MLB,Michael Busch,Hits,OVER,Goblin,0.5,0.9,5.46,B,1.0,0.0,1.0,1.0,1.0,0.5175856952137334,0.6868,0.7191,0.7191,0.3472,0.28090000000000004,0.8,True,0.9189,10,0.7367703656189866,0.5669624019200601,,,,[]
MLB,Nick Loftin,Hitter Fantasy Score,OVER,Goblin,1.5,4.3,5.43,B,1.0,0.0,1.0,1.0,1.0,0.567233020935368,0.7502666666666666,,,,,0.8,True,3.4785,10,0.3206907042565157,0.68835888126325,,,,[]
MLB,Shea Langeliers,Hits+Runs+RBIs,OVER,Goblin,0.5,4.1,5.41,B,1.0,0.0,1.0,1.0,1.0,0.564152292509486,0.6345333333333333,,,,,0.8,True,2.4855,10,0.8575716799503158,0.5530603823907412,,,,[]
Tennis,Mananchaya Sawangkaew,Total Games,OVER,Goblin,19.5,1.1,5.4,D,0.6,0.4,0.6,0.6,0.6,0.5284532430416835,0.4307333333333333,,,,,0.9,True,4.5326,10,0.6167474010776683,0.6407717847951722,,,,[]
Tennis,Mananchaya Sawangkaew,Double Faults,OVER,Goblin,3.5,0.1,5.4,D,0.6,0.4,0.6,0.6,0.6,0.5137865763750168,0.41206666666666664,,,,,0.9,True,1.633,10,0.5064602368236604,0.6632102425253408,,,,[]
Tennis,Mananchaya Sawangkaew,Total Games,OVER,Goblin,18.5,2.1,5.4,D,0.6,0.4,0.6,0.6,0.6,0.5431199097083501,0.44939999999999997,,,,,0.9,True,4.5326,10,0.6167474010776683,0.6459051181285056,,,,[]
Tennis,Lucia Bronzetti,Double Faults,OVER,Goblin,1.5,1.3,5.4,D,0.6,0.4,0.6,0.6,0.6,0.5313865763750169,0.4344666666666666,,,,,0.9,True,1.767,10,0.5480191294962693,0.6589805193571886,,,,[]
MLB,Brandon Lowe,Total Bases,OVER,Goblin,0.5,2.7,5.4,B,0.6,0.4,0.6,0.6,0.6,0.53054490970835,0.5572,0.4367,0.4367,0.631,0.1633,0.8,True,2.5408,10,0.9078176361297698,0.5287363093654801,5,0.566788,5510.0,[]
Tennis,Diana Shnaider,Total Games,OVER,Goblin,18.5,3.3,5.4,D,0.8,0.2,0.8,0.8,0.8,0.6567199097083501,0.5462000000000001,,,,,0.9,True,4.9171,10,0.6690660207913787,0.672585463200078,,,,[]
Tennis,Erika Andreeva,Double Faults,OVER,Goblin,2.5,0.5,5.4,D,0.6,0.4,0.6,0.6,0.6,0.5196532430416835,0.4195333333333333,,,,,0.9,True,1.2867,10,0.39905841195407454,0.6921140320760706,,,,[]
Tennis,Elvina Kalieva,Total Games,OVER,Goblin,18.5,5.1,5.4,D,0.8,0.2,0.8,0.8,0.8,0.6831199097083502,0.5726000000000001,,,,,0.9,True,6.806,10,0.9260871931638818,0.6175701701069521,,,,[]
MLB,Andy Pages,Hits,OVER,Goblin,0.5,1.3,5.39,B,0.8,0.2,0.8,0.8,0.8,0.5564372915903376,0.6126666666666666,0.3774,0.3774,0.6894,0.42260000000000003,0.8,True,0.9661,10,0.7746151379089159,0.5710992675793893,5,0.566788,5510.0,[]
MLB,Shea Langeliers,Total Bases,OVER,Goblin,0.5,3.1,5.39,C,1.0,0.0,1.0,1.0,1.0,0.5333372915903376,0.5998666666666667,0.5495,0.5495,0.5215,0.4505,0.8,True,2.6331,10,0.9407960554523368,0.5214690381935341,,,,[]
MLB,Willson Contreras,Hitter Fantasy Score,OVER,Goblin,2.5,3.7,5.38,B,0.8,0.2,0.8,0.8,0.8,0.5915627709624147,0.6574666666666666,,,,,0.8,True,6.7404,10,0.6214125694899004,0.6216938274643701,5,0.566788,5510.0,[]
MLB,Jackson Chourio,Total Bases,OVER,Goblin,0.5,2.25,5.37,C,0.8,0.0,0.8,0.8,0.8,0.4848595051933888,0.5444,0.5475,0.5475,0.5215,0.25250000000000006,0.8,True,2.3629,4,0.8442546805773903,0.5286371566733385,5,0.566788,5510.0,[]
MLB,Jackson Chourio,Hits+Runs+RBIs,OVER,Goblin,0.5,2.5,5.37,B,0.8,0.0,0.8,0.8,0.8,0.5045261718600554,0.5650666666666667,,,,,0.8,True,1.4142,4,0.4879412069143981,0.62459885842242,5,0.566788,5510.0,[]
MLB,Brandon Lowe,Hits+Runs+RBIs,OVER,Goblin,0.5,3.1,5.36,C,0.6,0.4,0.6,0.6,0.6,0.520113020073572,0.5486666666666666,,,,,0.8,True,2.8848,10,0.9953420970913984,0.5032040327529006,5,0.566788,5510.0,[]
MLB,Jared Jones,Earned Runs Allowed,OVER,Goblin,1.5,3.5,5.36,B,0.2,0.0,0.2,0.2,0.2,0.4071359367402387,0.40893333333333337,0.4484,0.4484,0.6198,-0.2484,0.8,False,0.0,1,0.0,0.7124975778590836,0,0.170044,18113.0,[]
