player_id,player_name_pp,team_pp,nba_player_id,nba_player_name,resolver
4277843,Gary Trent Jr.,MIL,1629018,Gary Trent Jr.,espn_name_strict
3133628,Myles Turner,MIL,1626167,Myles Turner,espn_name_strict
5279133,Joan Beringer,MIN,1642866,Joan Beringer,espn_name_strict
4432247,Jaylen Clark,MIN,1641740,Jaylen Clark,espn_name_strict
3195,Mike Conley,MIN,201144,Mike Conley,espn_name_strict
3934673,Donte DiVincenzo,MIN,1628978,Donte DiVincenzo,espn_name_strict
4397002,Ayo Dosunmu,MIN,1630245,Ayo Dosunmu,espn_name_strict
4594268,Anthony Edwards,MIN,1630162,Anthony Edwards,espn_name_strict
4592699,Enrique Freeman,MIN,1642402,Enrique Freeman,espn_name_strict
3032976,Rudy Gobert,MIN,203497,Rudy Gobert,espn_name_strict
4592492,Bones Hyland,MIN,1630538,Bones Hyland,espn_name_strict
2968436,Joe Ingles,MIN,204060,Joe Ingles,espn_name_strict
4431671,Jaden McDaniels,MIN,1630183,Jaden McDaniels,espn_name_strict
5105553,Julian Phillips,MIN,1641763,Julian Phillips,espn_name_strict
3064514,Julius Randle,MIN,203944,Julius Randle,espn_name_strict
4396971,Naz Reid,MIN,1629675,Naz Reid,espn_name_strict
4432847,Terrence Shannon Jr.,MIN,1630545,Terrence Shannon Jr.,espn_name_strict
5157587,Rocco Zikarsky,MIN,1642911,Rocco Zikarsky,espn_name_strict
4433268,Trey Alexander,NOP,1641725,Trey Alexander,espn_name_strict
4397136,Saddiq Bey,NOP,1630180,Saddiq Bey,espn_name_strict
4432180,Hunter Dickinson,NOP,1630621,Hunter Dickinson,espn_name_strict
5144091,Jeremiah Fears,NOP,1642847,Jeremiah Fears,espn_name_strict
4683750,Jordan Hawkins,NOP,1641722,Jordan Hawkins,espn_name_strict
4277813,Herbert Jones,NOP,1630529,Herbert Jones,espn_name_strict
3442,DeAndre Jordan,NOP,201599,DeAndre Jordan,espn_name_strict
3155535,Kevon Looney,NOP,1626172,Kevon Looney,espn_name_strict
4576086,Bryce McGowens,NOP,1631121,Bryce McGowens,espn_name_strict
5061589,Yves Missi,NOP,1642274,Yves Missi,espn_name_strict
4397688,Trey Murphy III,NOP,1630530,Trey Murphy III,espn_name_strict
3907497,Dejounte Murray,NOP,1627749,Dejounte Murray,espn_name_strict
4432185,Micah Peavy,NOP,1642877,Micah Peavy,espn_name_strict
4277956,Jordan Poole,NOP,1629673,Jordan Poole,espn_name_strict
4869780,Derik Queen,NOP,1642852,Derik Queen,espn_name_strict
4395628,Zion Williamson,NOP,1629627,Zion Williamson,espn_name_strict
4277869,Jose Alvarado,NYK,1630631,Jose Alvarado,espn_name_strict
3934719,OG Anunoby,NYK,1628384,OG Anunoby,espn_name_strict
3147657,Mikal Bridges,NYK,1628969,Mikal Bridges,espn_name_strict
3934672,Jalen Brunson,NYK,1628973,Jalen Brunson,espn_name_strict
2528426,Jordan Clarkson,NYK,203903,Jordan Clarkson,espn_name_strict
5289900,Mohamed Diawara,NYK,1642885,Mohamed Diawara,espn_name_strict
3062679,Josh Hart,NYK,1628404,Josh Hart,espn_name_strict
4871141,Ariel Hukporti,NYK,1630574,Ariel Hukporti,espn_name_strict
4395623,Trey Jemison III,NYK,1641998,Trey Jemison III,espn_name_strict
