player_norm,espn_athlete_id
goncalo ramos,288896
ousmane dembele,229744
andrey santos,314858
bradley barcola,328238
cole palmer,296395
desire doue,336388
ibrahim mbaye,388522
lee kang-in,274197
lucas chevalier,288925
robert sanchez,108662
dario essugo,316560
malo gusto,308947
marc cucurella,259910
trevoh chalobah,227784
estevao,376481
pedro neto,256115
alejandro garnacho,325555
joao pedro,152014
liam delap,307114
marc guiu,363038
dro fernandez,403578
senny mayulu,379088
shumaira mheuka,372013
enzo fernandez,285450
willian pacho,287005
jamie gittens,339879
jorrel hato,353951
josh acheampong,368317
joao neves,355061
lucas hernandez,196200
mamadou sarr,355433
nuno mendes,290591
reece james,189007
romeo lavia,308217
warren zaire-emery,345581
wesley fofana,270190
tosin adarabioyo,231198
benoit badiashile,282585
illia zabarnyi,304503
charlie holland,315532
david boly,403981
fabian ruiz,214596
jesse derry,373759
mathis jangeal,411463
noah nsoki,416441
yanis khafi,411462
wassim slama,403420
cristian zabala,279074
marco di cesare,301950
javier burrai,157853
facundo cambeses,233910
aynsley pears,243667
balazs toth,305052
jamie cumming,246933
matt ingram,152633
andri gudjohnsen,326075
augustus kargbo,277151
cameron brannagan,196686
jamie donley,347313
mathias jørgensen,272267
moussa baradji,387548
nik prelec,307060
oladapo afolayan,252916
przemyslaw placheta,287466
stanley mills,328022
mark harris,68601
tyler goodrham,293339
will lankshear,349181
yuki ohashi,283613
aidomo emakhu,320328
adam forshaw,143534
ben davies,219599
christ makosso,362476
connor o'riordan,324687
dion neve,323976
george pratt,398707
harry pickering,241040
hayden carter,243604
hidde avest,208840
jack currie,179557
joshua johnson,324692
kristi montgomery,355361
michal helik,257117
myles peart-harris,306541
ruben roosken,290180
ryoya morishita,303060
scott wharton,232382
taylor gardner-hickman,282892
todd cantwell,243380
tom atcheson,369509
will vaulks,171575
yunus konak,366990
brodie spencer,341407
ciaron brown,269461
eiran cashin,318359
jake garrett,324693
jamie mcdonnell,366234
sam long,18973
sean mcloughlin,274535
aodhan doherty,356911
siriki dembele,259032
brian keersmaecker,287353
gatlin o'donkor,311183
greg leigh,179466
igor tyjon,383862
nathan dlamini,416414
axel henriksson,315674
ryan hedges,192991
daniel peretz,305926
daryl dike,294211
george long,154693
isaac price,317857
josh griffiths,281728
max o'leary,195607
cameron archer,293347
cyle larin,205024
finn azaz,251631
harry whitwell,375954
jay robinson,355359
jed wallace,169337
josh maja,243514
oliver bostock,398182
ross stewart,251936
samuel edozie,307119
kuryu matsuki,333631
alex mowatt,191596
alfie gilchrist,325536
callum styles,236141
cameron bragg,328052
charlie taylor,138821
danny imray,326250
flynn downes,255916
george campbell,231066
jack stephens,152475
james bree,204286
jayson molumby,243465
joshua quarshie,354014
krystian bielik,212257
nathaniel phillips,275109
oriol romeu,141271
ousmane diakite,228558
ryan manning,251399
shea charles,324164
taylor harwood-bellis,281121
tom fellows,308560
caspar jander,386434
barnaby williams,414523
elias jelert,329755
hindolo mustapha,371700
moses sesay,408883
joe o'brien-whitmarsh,390476
kevin mfuamba,379077
mikey johnston,291513
muhamed diomande,388843
nathan wood,277005
tammer bany,380144
mads roerslev,249172
demarai gray,194403
ibrahim osman,359400
jay stansfield,301248
kyogo furuhashi,276904
august priske,330460
ben hamer,83011
joe walsh,43468
carlos vicente,172019
karamoko dembele,288616
marvin ducksch,159150
patrick roberts,194118
rayan kolli,367706
richard kone,378784
ilias chair,261089
jaylan pearman,355961
kanya fujimoto,283859
kwame poku,292221
james beadle,329170
ryan allsop,134929
daniel bennie,358656
harvey vale,306532
jhon solis,285048
justin obikwu,367299
koki saito,265960
paul smyth,231890
rumarn burrell,281722
paik seung-ho,256598
tommy doyle,284641
tomoki iwata,286056
kealey adamson,354937
kieran morgan,392106
amadou mbengue,325989
bright osayi-samuel,217071
ethan laird,291434
isaac hayden,192031
jack robinson,147255
jimmy dunne,259089
jonathan varane,318388
jonathan panzo,265909
kai wagner,261317
nicolas madsen,272629
rhys norrington-davies,269276
ronnie edwards,300966
steve cook,43187
alex cochrane,251627
christoph klarer,263133
phil neumann,238884
ashley trujillo,404166
briar bateman,417615
isak alemayehu,350206
william burrell,416532
zaid betteka,393660
jovon makama,324586
mathias kvistgaarden,304073
mohamed toure,302688
adam davies,236721
daniel grimshaw,259837
michael cooper,262792
vladan kovacevic,257938
callum o'hare,254023
paris maghoma,267458
errol mundle-smith,402938
patrick bamford,167114
pelle mattsson,290037
sydie peck,354729
thomas cannon,328023
tyrese campbell,227777
ali ahmed,340228
andre brooks,350353
tony springett,307175
chiedozie ogbene,238192
danny ings,141706
emiliano marcondes,179196
jacob wright,365340
anis slimane,302944
djibril soumare,366358
harrison burrows,263132
kenny mclean,141870
liam gibbs,298939
tahith chong,276218
ben chrisene,292004
harry darling,246922
jack stacey,206219
jakov medic,291947
japhet tanganga,256912
jairo riedewald,195599
joe rothwell,215790
kellen fisher,346906
ki-jana hoever,284591
leo hjelde,312592
mark mcguinness,290105
oliver arblaster,337083
ruairi mcconville,328008
sam field,236119
jose cordoba,286667
kalvin phillips,223453
femi seriki,283798
oscar schwartau,345568
shane duffy,135369
tyler bindon,367427
alex matos,335913
ben mee,138159
gabriel forsyth,347926
gustavo hamer,236912
harry amass,356940
jeffrey schlupp,205646
matej jurasek,310026
mirko topic,306605
sam mccallum,280550
tom davies,253958
morgan whittaker,292002
hayden hackney,282978
jeremy sarmiento,328013
riley mcgree,235096
alex gilbert,312247
leo castledine,347314
thomas kaminski,134909
will mannion,236120
sonny carey,243713
tommy conway,314791
sam silvera,291699
charlie kelman,283196
joe wildsmith,196596
sol brynn,243685
sontje hansen,297299
aidan morris,293826
alan browne,197627
callum brittain,232311
joe rankin-costello,243354
lyndon dykes,207538
matt targett,192929
miles leaburn,346449
tyreece campbell,336361
david strelec,289637
finley munroe,365342
ibrahim fullah,403300
jayden fevrier,310324
amari'i bell,192034
conor coventry,243543
greg docherty,184165
harry clarke,293337
kayne ramsay,274062
keenan gough,408857
luke chambers,32572
luke ayling,136380
