prop_cat,n,hits,hr,sport,dimension,lift_pp,pick_type_norm,direction,tier,def_tier,player_tier_bucket,l5_side_bucket,l10_side_bucket,l10_streak,consistency_grade,minutes_tier,usage_tier,game_total_bucket,h2h_bucket,confidence_tier,on_ticket_flag,hit_rate_bin,edge_bin,ml_prob_bin,top3_weak_overperformer,top3_elite_fader,injury_boost_candidate,team_star_out,usage_vacuum,stack_70_eligible,pick_dir_def,tier_dir_player
,9865,2382,0.24145970603142422,TENNIS,l5_side_bucket,-1.641751004041911,,,,,,0-2 cold,,,,,,,,,,,,,,,,,,,,
,12901,3325,0.25773195876288657,TENNIS,l10_side_bucket,-0.014525730895675881,,,,,,,(missing),,,,,,,,,,,,,,,,,,,
,12901,3325,0.25773195876288657,TENNIS,l10_streak,-0.014525730895675881,,,,,,,,,,,,,,,,,,,,,,,,,,
,12917,3331,0.25787721607184333,TENNIS,consistency_grade,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,12917,3331,0.25787721607184333,TENNIS,minutes_tier,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,12917,3331,0.25787721607184333,TENNIS,usage_tier,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,12917,3331,0.25787721607184333,TENNIS,game_total_bucket,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,12917,3331,0.25787721607184333,TENNIS,h2h_bucket,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,312,159,0.5096153846153846,TENNIS,confidence_tier,25.173816854354126,,,,,,,,,,,,,,HIGH,,,,,,,,,,,,
,4832,2019,0.41783940397350994,TENNIS,confidence_tier,15.996218790166662,,,,,,,,,,,,,,MED,,,,,,,,,,,,
,1371,347,0.25309992706053974,TENNIS,confidence_tier,-0.4777289011303587,,,,,,,,,,,,,,,,,,,,,,,,,,
,6402,806,0.12589815682599187,TENNIS,confidence_tier,-13.197905924585147,,,,,,,,,,,,,,LOW,,,,,,,,,,,,
,381,198,0.5196850393700787,TENNIS,on_ticket_flag,26.180782329823536,,,,,,,,,,,,,,,True,,,,,,,,,,,
,12536,3133,0.24992022973835354,TENNIS,on_ticket_flag,-0.7956986333489791,,,,,,,,,,,,,,,False,,,,,,,,,,,
,682,415,0.6085043988269795,TENNIS,hit_rate_bin,35.06271827551362,,,,,,,,,,,,,,,,70+,,,,,,,,,,
,77,35,0.45454545454545453,TENNIS,hit_rate_bin,19.66682384736112,,,,,,,,,,,,,,,,65-70,,,,,,,,,,
,127,47,0.3700787401574803,TENNIS,hit_rate_bin,11.220152408563699,,,,,,,,,,,,,,,,55-60,,,,,,,,,,
,2659,753,0.28318916886047385,TENNIS,hit_rate_bin,2.531195278863052,,,,,,,,,,,,,,,,,,,,,,,,,,
,9372,2081,0.2220443875373453,TENNIS,hit_rate_bin,-3.583282853449804,,,,,,,,,,,,,,,,<50,,,,,,,,,,
,922,568,0.6160520607375272,TENNIS,edge_bin,35.81748446656838,,,,,,,,,,,,,,,,,2+,,,,,,,,,
,80,39,0.4875,TENNIS,edge_bin,22.962278392815666,,,,,,,,,,,,,,,,,1.5-2,,,,,,,,,
,104,46,0.4423076923076923,TENNIS,edge_bin,18.443047623584896,,,,,,,,,,,,,,,,,0.5-1,,,,,,,,,
,159,60,0.37735849056603776,TENNIS,edge_bin,11.948127449419443,,,,,,,,,,,,,,,,,1-1.5,,,,,,,,,
,217,69,0.31797235023041476,TENNIS,edge_bin,6.009513415857143,,,,,,,,,,,,,,,,,0-0.5,,,,,,,,,
,9714,2199,0.22637430512662138,TENNIS,edge_bin,-3.150291094522195,,,,,,,,,,,,,,,,,<0,,,,,,,,,
,1721,350,0.20337013364323067,TENNIS,edge_bin,-5.450708242861266,,,,,,,,,,,,,,,,,,,,,,,,,,
,1949,818,0.41970241149307336,TENNIS,ml_prob_bin,16.182519542123003,,,,,,,,,,,,,,,,,,70-80,,,,,,,,
,1976,634,0.3208502024291498,TENNIS,ml_prob_bin,6.297298635730647,,,,,,,,,,,,,,,,,,50-60,,,,,,,,
,1419,386,0.27202255109231854,TENNIS,ml_prob_bin,1.4145335020475214,,,,,,,,,,,,,,,,,,60-70,,,,,,,,
,1721,350,0.20337013364323067,TENNIS,ml_prob_bin,-5.450708242861266,,,,,,,,,,,,,,,,,,,,,,,,,,
,5852,1143,0.19531784005468217,TENNIS,ml_prob_bin,-6.255937601716116,,,,,,,,,,,,,,,,,,<50,,,,,,,,
,12917,3331,0.25787721607184333,TENNIS,top3_weak_overperformer,0.0,,,,,,,,,,,,,,,,,,,no,,,,,,,
,12917,3331,0.25787721607184333,TENNIS,top3_elite_fader,0.0,,,,,,,,,,,,,,,,,,,,no,,,,,,
,12917,3331,0.25787721607184333,TENNIS,injury_boost_candidate,0.0,,,,,,,,,,,,,,,,,,,,,no,,,,,
,12917,3331,0.25787721607184333,TENNIS,team_star_out,0.0,,,,,,,,,,,,,,,,,,,,,,no,,,,
,12917,3331,0.25787721607184333,TENNIS,usage_vacuum,0.0,,,,,,,,,,,,,,,,,,,,,,,no,,,
,71,33,0.4647887323943662,TENNIS,stack_70_eligible,20.691151632252286,,,,,,,,,,,,,,,,,,,,,,,,yes,,
,12846,3298,0.2567336135762105,TENNIS,stack_70_eligible,-0.11436024956328339,,,,,,,,,,,,,,,,,,,,,,,,no,,
