player,team,prop_type,actual,league,espn_player_id,SOT,SH,G,A,SV,PA,KP,TK
Augusto Batalla,RAY,Assists,0.0,esp.1,195032,,0.0,0.0,0.0,2.0,,,
Augusto Batalla,RAY,Fouls,0.0,esp.1,195032,,0.0,0.0,0.0,2.0,,,
Augusto Batalla,RAY,Goal + Assist,0.0,esp.1,195032,,,,,,,,
Augusto Batalla,RAY,Goalkeeper Saves,2.0,esp.1,195032,,0.0,0.0,0.0,2.0,,,
Augusto Batalla,RAY,Goals,0.0,esp.1,195032,,0.0,0.0,0.0,2.0,,,
Augusto Batalla,RAY,Shots,0.0,esp.1,195032,,0.0,0.0,0.0,2.0,,,
Augusto Batalla,RAY,Yellow Cards,0.0,esp.1,195032,,0.0,0.0,0.0,2.0,,,
Aurélien Tchouaméni,RMA,Assists,0.0,esp.1,265919,,1.0,0.0,0.0,,,,
Aurélien Tchouaméni,RMA,Fouls,1.0,esp.1,265919,,1.0,0.0,0.0,,,,
Aurélien Tchouaméni,RMA,Goal + Assist,0.0,esp.1,265919,,,,,,,,
Aurélien Tchouaméni,RMA,Goals,0.0,esp.1,265919,,1.0,0.0,0.0,,,,
Aurélien Tchouaméni,RMA,Shots,1.0,esp.1,265919,,1.0,0.0,0.0,,,,
Aurélien Tchouaméni,RMA,Yellow Cards,0.0,esp.1,265919,,1.0,0.0,0.0,,,,
Axel Witsel,GIR,Assists,0.0,esp.1,164895,,0.0,0.0,0.0,,,,
Axel Witsel,GIR,Fouls,0.0,esp.1,164895,,0.0,0.0,0.0,,,,
Axel Witsel,GIR,Goal + Assist,0.0,esp.1,164895,,,,,,,,
Axel Witsel,GIR,Goals,0.0,esp.1,164895,,0.0,0.0,0.0,,,,
Axel Witsel,GIR,Shots,0.0,esp.1,164895,,0.0,0.0,0.0,,,,
Axel Witsel,GIR,Yellow Cards,0.0,esp.1,164895,,0.0,0.0,0.0,,,,
Ayrton Lucas,FLA,Assists,0.0,bra.copa_do_brazil,203077,,0.0,0.0,0.0,,,,
Ayrton Lucas,FLA,Fouls,0.0,bra.copa_do_brazil,203077,,0.0,0.0,0.0,,,,
Ayrton Lucas,FLA,Goal + Assist,0.0,bra.copa_do_brazil,203077,,,,,,,,
Ayrton Lucas,FLA,Goals,0.0,bra.copa_do_brazil,203077,,0.0,0.0,0.0,,,,
Ayrton Lucas,FLA,Shots,0.0,bra.copa_do_brazil,203077,,0.0,0.0,0.0,,,,
Ayrton Lucas,FLA,Yellow Cards,0.0,bra.copa_do_brazil,203077,,0.0,0.0,0.0,,,,
Azzedine Ounahi,GIR,Assists,0.0,esp.1,291552,,4.0,0.0,0.0,,,,
Azzedine Ounahi,GIR,Fouls,2.0,esp.1,291552,,4.0,0.0,0.0,,,,
Azzedine Ounahi,GIR,Goal + Assist,0.0,esp.1,291552,,,,,,,,
Azzedine Ounahi,GIR,Goals,0.0,esp.1,291552,,4.0,0.0,0.0,,,,
Azzedine Ounahi,GIR,Shots,4.0,esp.1,291552,,4.0,0.0,0.0,,,,
Azzedine Ounahi,GIR,Yellow Cards,0.0,esp.1,291552,,4.0,0.0,0.0,,,,
Baptiste Santamaria,VAL,Assists,0.0,esp.1,192403,,0.0,0.0,0.0,,,,
Baptiste Santamaria,VAL,Fouls,0.0,esp.1,192403,,0.0,0.0,0.0,,,,
Baptiste Santamaria,VAL,Goal + Assist,0.0,esp.1,192403,,,,,,,,
Baptiste Santamaria,VAL,Goals,0.0,esp.1,192403,,0.0,0.0,0.0,,,,
Baptiste Santamaria,VAL,Shots,0.0,esp.1,192403,,0.0,0.0,0.0,,,,
Baptiste Santamaria,VAL,Yellow Cards,0.0,esp.1,192403,,0.0,0.0,0.0,,,,
Bart Vriends,ADE,Assists,0.0,aus.1,124962,,1.0,0.0,0.0,,,,
Bart Vriends,ADE,Fouls,0.0,aus.1,124962,,1.0,0.0,0.0,,,,
Bart Vriends,ADE,Goal + Assist,0.0,aus.1,124962,,,,,,,,
Bart Vriends,ADE,Goals,0.0,aus.1,124962,,1.0,0.0,0.0,,,,
Bart Vriends,ADE,Shots,1.0,aus.1,124962,,1.0,0.0,0.0,,,,
Bart Vriends,ADE,Yellow Cards,0.0,aus.1,124962,,1.0,0.0,0.0,,,,
Bastos,BOT,Assists,0.0,bra.copa_do_brazil,204602,,1.0,0.0,0.0,,,,
