player_norm,espn_athlete_id,team_norm
tommaso baldanzi,309518,asroma
neil el aynaoui,323807,asroma
niccolo pisilli,360235,asroma
mattia della rocca,384836,asroma
muhammed bah,415750,asroma
alessandro di nunzio,3098218,asroma
francesco panico,3112441,asroma
gioele giammattei,3112442,asroma
paulo dybala,164839,asroma
santiago castro,250284,asroma
donyell malen,259481,asroma
matias soule,323974,asroma
luigi cherubini,353352,asroma
robinio vaz,377894,asroma
antonio arena,404546,asroma
edoardo morucci,418042,asroma
lukasz skorupski,179358,bologna
federico ravaglia,245626,bologna
massimo pessina,388880,bologna
lorenzo de silvestri,68070,bologna
jhon lucumi,227697,bologna
nicolo casale,250707,bologna
juan miranda,261616,bologna
torbjørn heggem,272867,bologna
emil holm,286814,bologna
nadir zortea,291560,bologna
martin vitik,309110,bologna
rahim alhassane,331770,bologna
mihajlo ilic,336718,bologna
eivind helland,361818,bologna
remo freuler,152600,bologna
lewis ferguson,202429,bologna
nikola moro,228333,bologna
michel aebischer,245623,bologna
tommaso pobega,276654,bologna
oussama el azzouzi,320947,bologna
mikel amondarain,365160,bologna
jon rowe,118279,bologna
federico bernardeschi,180956,bologna
artem dovbyk,226211,bologna
orji okwonkwo,228297,bologna
riccardo orsolini,234426,bologna
jesper karlsson,235503,bologna
jens odgaard,238407,bologna
thijs dallinga,266280,bologna
nicolo cambiaghi,287790,bologna
antonio raimondo,319265,bologna
